Instancia,Iteraciones,Mejor Greedy,Mejor Evolutivo,Diferencia (%),Tiempo ejecución (s)
AB114,30,5806.0,5578.6,-3.916637960730273,128.575
AB115,30,5715.0,5422.47,-5.11863517060367,125.348
AB116,30,5277.0,5022.35,-4.825658518097397,118.482
AB117,30,5785.0,5516.65,-4.638720829732073,135.983
AB118,30,6256.0,6049.29,-3.3041879795396425,132.957
AB119,30,6487.0,6122.76,-5.614922151996296,93.893
AB120,30,6993.0,6742.42,-3.583297583297582,80.903
AB201,30,2003.0,1772.67,-11.499251123315023,51.377
AB202,30,2539.0,2308.36,-9.083891295785737,13.177
AB203,30,2631.0,2122.87,-19.313188901558348,14.615
AB204,30,2442.0,2277.73,-6.726863226863227,26.243
AB205,30,3099.0,2819.83,-9.008389803162313,73.292
AB206,30,3417.0,2979.37,-12.80743342112965,37.227
AB207,30,3206.0,2997.48,-6.504054897067997,57.823
AB208,30,3212.0,2824.46,-12.065379825653798,80.419
AB209,30,2804.0,2579.88,-7.992867332382307,82.47
AB210,30,2945.0,2765.99,-6.078438030560279,79.237
AB211,30,3190.0,3103.33,-2.7169278996865227,61.548
AB212,30,4022.0,3656.99,-9.075335653903537,120.302
AB213,30,4089.0,3645.3,-10.85106382978723,123.891
AB214,30,3836.0,3419.94,-10.846193952033367,148.929
AB215,30,4059.0,3607.37,-11.126632175412666,169.071
AB216,30,4094.0,3827.7,-6.504640937957992,104.951
AB217,30,5012.0,4289.04,-14.424581005586592,97.451
AB218,30,4585.0,4376.01,-4.558124318429657,117.608
AB219,30,4224.0,3903.54,-7.586647727272728,119.638
AB220,30,4216.0,3894.91,-7.615986717267556,140.56
